m,v,gv,sp,diff
1,-179.8559423769508,-4.639760156957945e-07,-0.03088559183748373,0.030885127861468034
2,-179.8559423769508,0.0007781401133791799,0.030885591837485987,0.030107451724106806
3,-179.8559423769508,-0.03442190454986653,-0.036458104715421456,0.002036200165554926
4,-179.8559423769508,0.03835802685270604,0.03645810471853864,0.0018999221341673977
5,-179.8559423769508,-0.039039888114277305,-0.039036061469959644,3.826644317660166e-06
6,-179.8559423769508,0.03903953821019057,0.03903606386461214,3.4743455784302935e-06
7,-179.8559423769508,-0.039985407371908296,-0.039980222500265415,5.184871642881228e-06
8,-179.8559423769508,0.03998608585447025,0.03998089216583405,5.193688636197236e-06
9,-179.8559423769508,-0.0394494536998231,-0.0394425503984486,6.90330137449735e-06
10,-179.8559423769508,0.03952492016059215,0.039518098666982276,6.821493609872331e-06
11,-179.8559423769508,-0.03528290701046276,-0.03527254933987941,1.03576705833483e-05
12,-179.8559423769508,0.03804479319069244,0.0380370029372267,7.790253465742025e-06
13,-179.8559423769508,-0.03156181962502748,-0.03155839910974967,3.4205152778105097e-06
14,-179.8559423769508,0.039616899853143324,0.03961063847496451,6.2613781788151135e-06
15,-179.8559423769508,-0.041541120159966805,-0.04153625817889811,4.8619810686933995e-06
16,-179.8559423769508,0.04480312972266336,0.04479680719750961,6.322525153749925e-06
17,-179.8559423769508,-0.04745164645684583,-0.04744487767594929,6.7687808965391505e-06
18,-179.8559423769508,0.050024538493930966,0.050017265873795465,7.272620135501118e-06
19,-179.8559423769508,-0.0525220869485254,-0.052514369857128936,7.717091396464149e-06
20,-179.8559423769508,0.05497942920656677,0.054971286756343295,8.142450223472264e-06
21,-179.8559423769508,-0.057412243745321535,0.05251436985712887,0.1099266136024504
22,-179.8559423769508,0.05983043328084016,0.0598214732789523,8.960001887860225e-06
23,-179.8559423769508,-0.0622401943189759,-0.06223083425578311,9.360063192791201e-06
24,-179.8559423769508,0.06464553448708313,0.06463577753159815,9.756955484982455e-06
25,-179.8559423769508,-0.06704908464136661,-0.06703893287986551,1.01517615010982e-05
26,-179.8559423769508,0.06945258313779491,0.06944203795414462,1.0545183650290113e-05
27,-179.8559423769508,-0.07185717521182543,-0.07184623752325751,1.093768856791355e-05
28,-179.8559423769508,0.07426360454317633,0.07425227495372577,1.1329589450562172e-05
29,-179.8559423769508,-0.07667233919376051,-0.0766606180934288,1.1721100331707479e-05
30,-179.8559423769508,0.07908365623286825,0.07907154386652171,1.2112366346545e-05
31,-179.8559423769508,-0.08149769963655445,-0.08148519614839485,1.2503488159607001e-05
32,-179.8559423769508,0.08391452047540211,0.08390162594256693,1.2894532835178163e-05
33,-179.8559423769508,-0.08633410514816289,-0.08632081960233094,1.3285545831950851e-05
34,-179.8559423769508,0.08875639539782887,0.08874271884071709,1.367655711177751e-05
35,-179.8559423769508,-0.09118130260514608,-0.09116723501966321,1.4067585482863132e-05
1,-179.71188475390156,-9.277798145587025e-07,-0.06175971990950521,0.061758792129690654
2,-179.71188475390156,0.001555991393929955,0.061759719909508536,0.06020372851557858
3,-179.71188475390156,-0.06881477674686114,-0.07288546137658462,0.004070684629723487
4,-179.71188475390156,0.07668370152195185,0.07288546138281701,0.003798240139134837
5,-179.71188475390156,-0.07802957257501743,-0.07802192810302387,7.644471993556445e-06
6,-179.71188475390156,0.07802887321647492,0.07802193288893136,6.9403275435586664e-06
7,-179.71188475390156,-0.07990304798799558,-0.07989269395073784,1.0354037257742643e-05
8,-179.71188475390156,0.0799044037057167,0.07989403204948528,1.0371656231425441e-05
9,-179.71188475390156,-0.07881751409163835,-0.07880373213110328,1.3781960535072524e-05
10,-179.71188475390156,0.07896827956146762,0.07895466105868283,1.361850278479293e-05
11,-179.71188475390156,-0.07048216057566435,-0.07046148308300652,2.0677492657827923e-05
12,-179.71188475390156,0.0759988806629873,0.07598333260574126,1.5548057246031477e-05
13,-179.71188475390156,-0.06304231087980307,-0.0630354934778869,6.817401916173194e-06
14,-179.71188475390156,0.07912768569156478,0.0791151975515172,1.2488140047575702e-05
15,-179.71188475390156,-0.082964252751077,-0.08295456296592627,9.68978515072938e-06
16,-179.71188475390156,0.08947124852155938,0.08945864579118695,1.2602730372429649e-05
17,-179.71188475390156,-0.0947511864150324,-0.09473769701271119,1.3489402321209543e-05
18,-179.71188475390156,0.09987832961543594,0.09986383919420867,1.4490421227267292e-05
19,-179.71188475390156,-0.10485320032192871,-0.10483782809330158,1.5372228627130724e-05
20,-179.71188475390156,0.10974590783426032,0.10972969265041878,1.6215183841539194e-05
21,-179.71188475390156,-0.11458768934785375,0.10483782809330146,0.2194255174411552
22,-179.71188475390156,0.11939824006498706,0.11938040737509938,1.783268988768405e-05
23,-179.71188475390156,-0.1241898492964131,-0.12417122640708332,1.8622889329772407e-05
24,-179.71188475390156,0.128970432220373,0.1289510262715809,1.9405948792100558e-05
25,-179.71188475390156,-0.13374515267502277,-0.1337249686783657,2.018399665706938e-05
26,-179.71188475390156,0.1385173908846285,0.13849643248309676,2.095840153173989e-05
27,-179.71188475390156,-0.14328934173782734,-0.14326761167677693,2.1730061050412308e-05
28,-179.71188475390156,0.14806239762329948,0.14803989805693635,2.2499566363132217e-05
29,-179.71188475390156,-0.15283740012152666,-0.15281413281110995,2.3267310416713594e-05
30,-179.71188475390156,0.15761480913764284,0.15759077558901113,2.4033548631702262e-05
31,-179.71188475390156,-0.16239481862414537,-0.16237002017663307,2.479844751229754e-05
32,-179.71188475390156,0.16717743690700676,0.16715187480045202,2.5562106554744002e-05
33,-179.71188475390156,-0.17196254312063106,-0.171936218538516,2.6324582115044848e-05
34,-179.71188475390156,0.17674992721920163,0.17672284131975352,2.7085899448109352e-05
35,-179.71188475390156,-0.18153931855060323,-0.1815114724888997,2.7846061703529212e-05
1,-179.56782713085235,-1.3912392837465596e-06,-0.09261092766691852,0.09260953642763477
2,-179.56782713085235,0.002333265190653914,0.09261092766692043,0.09027766247626652
3,-179.56782713085235,-0.10314961202476274,-0.10925135135587842,0.006101739331115685
4,-179.56782713085235,0.11494470278832652,0.1092513513652198,0.0056933514231067295
5,-179.56782713085235,-0.11691891803034862,-0.11690747334587542,1.1444684473199684e-05
6,-179.56782713085235,0.11691787011601364,0.11690748051624215,1.0389599771482017e-05
7,-179.56782713085235,-0.11968527377440934,-0.11966978194289449,1.5491831514849452e-05
