m,v,gv,sp,diff
35,-3.0535928593715918,-0.05903566524342729,-0.059038861515498205,3.196272070911388e-06
34,-3.051078579536786,0.06139671826902501,0.06139990920266694,3.1909336419347345e-06
35,-3.051078579536786,0.028961181523772403,0.028957843888754265,3.337635018137858e-06
33,-3.04856429970198,-0.06876361077982972,-0.06876678741404679,3.176634217075258e-06
34,-3.04856429970198,-0.02408427314256591,-0.024080944007522892,3.3291350430182665e-06
35,-3.04856429970198,0.11673353839036812,0.11673008589731268,3.4524930554447053e-06
32,-3.0460500198671743,0.08112714072891256,0.08113029378522821,3.153056315652325e-06
33,-3.0460500198671743,0.014190328937556083,0.014187015986138283,3.3129514178005526e-06
34,-3.0460500198671743,-0.10938906999216685,-0.10938562754351942,3.44244864743104e-06
31,-3.0435357400323686,-0.09846946481818308,-0.09847258448391936,3.1196657362814184e-06
32,-3.0435357400323686,0.0007208699872496957,0.0007241585930940013,3.2886058443056584e-06
33,-3.0435357400323686,0.09704645907012116,0.09704303300614063,3.4260639805300253e-06
31,-3.041021460197563,-0.020645468192931858,-0.020648723577243164,3.2553843113056202e-06
32,-3.041021460197563,-0.07969007360253375,-0.07968667092106607,3.4026814676735295e-06
30,-3.0385071803627572,0.0455698700905241,0.04557308245587055,3.2123653464499746e-06
31,-3.0385071803627572,0.05730414324941439,0.05730077185873126,3.3713906831267515e-06
29,-3.035992900527951,-0.07546319006648099,-0.07546634850925212,3.1584427711284224e-06
30,-3.035992900527951,-0.029879376783985945,-0.02987604572189731,3.331062088635095e-06
31,-3.035992900527951,0.1349050954027848,0.134901629407303,3.465995481816142e-06
29,-3.0334786206931454,-0.0025785112350260667,-0.002581791602903648,3.2803678775812986e-06
30,-3.0334786206931454,-0.1051583377556919,-0.10515490749968376,3.4302560081439504e-06
28,-3.0309643408583398,0.040038380898676,0.040041598731897665,3.2178332216650785e-06
29,-3.0309643408583398,0.07031990194824056,0.07031651726545092,3.384682789639437e-06
27,-3.028450061023534,-0.08243140208199444,-0.08243454395970543,3.141877710985397e-06
28,-3.028450061023534,-0.030389934681385237,-0.03038660712159611,3.3275597891256614e-06
29,-3.028450061023534,0.14284375955148992,0.14284028952231884,3.4700291710876296e-06
27,-3.0259357811887284,-0.014593678069585543,-0.01459693512706624,3.257057480696851e-06
28,-3.0259357811887284,-0.10066732122977365,-0.10066390094712284,3.420282650809514e-06
26,-3.0234215013539227,0.06454016868819012,0.06454333999490207,3.1713067119437666e-06
27,-3.0234215013539227,0.05331145399461151,0.053308096828082636,3.357166528876465e-06
26,-3.0209072215191166,-0.0008332037401314736,-0.0008299251931419868,3.2785469894868044e-06
27,-3.0209072215191166,0.1209703417759261,0.12096690068047301,3.4410954530827986e-06
25,-3.018392941684311,-0.05663808534109505,-0.056641267660474545,3.182319379492482e-06
26,-3.018392941684311,-0.06620300658744689,-0.06619963501890616,3.3715685407303964e-06
25,-3.0158786618495053,0.006237305942401116,0.006234022083367182,3.2838590339340223e-06
26,-3.0158786618495053,-0.13128918595025107,-0.13128573655361875,3.4493966323267955e-06
24,-3.0133643820146996,0.05873622888144882,0.05873940459374593,3.1757122971112772e-06
25,-3.0133643820146996,0.06908798531930183,0.06908461314737574,3.372171926085965e-06
24,-3.010850102179894,-0.0016232997932936672,-0.001620026195851977,3.2735974416901216e-06
25,-3.010850102179894,0.13166494251975686,0.13166149612274158,3.4463970152720513e-06
23,-3.008335822345088,-0.07082454390340308,-0.07082769527785335,3.151374450269251e-06
24,-3.008335822345088,-0.06197689959679038,-0.06197354024800388,3.3593487865010707e-06
23,-3.005821542510282,-0.013002465193550831,-0.013005712579676684,3.2473861258531384e-06
24,-3.005821542510282,-0.12210413863159066,-0.12210070643007662,3.4322015140392237e-06
22,-3.0033072626754764,0.09286844771410015,0.09287155601954131,3.108305441160142e-06
23,-3.0033072626754764,0.044863241755605625,0.04485990932968048,3.3324259251441e-06
22,-3.0007929828406708,0.0376247468600293,0.03762795076145663,3.203901427328848e-06
23,-3.0007929828406708,0.10257841615718181,0.10257501034597506,3.4058112067525403e-06
22,-2.998278703005865,-0.01773450063041208,-0.017731210900713775,3.2897296983053215e-06
21,-2.9957644231710594,-0.07219707314193412,-0.07220021410522728,3.1409632931661546e-06
22,-2.9957644231710594,-0.07303928529584193,-0.07303592011676481,3.365179077119418e-06
21,-2.9932501433362533,-0.019401682898988953,-0.019404911585206054,3.2286862171014563e-06
