m,v,gv,sp,diff
7,-3.141592653589793,-0.005151962532333906,-0.0051544522374293855,2.4897050954798827e-06
8,-3.141592653589793,0.019335228781991558,0.019347142712709875,1.19139307183172e-05
9,-3.141592653589793,-0.06621862972089795,-0.06626649114191596,4.786142101800839e-05
10,-3.141592653589793,0.2065411751072402,0.20670416046691242,0.00016298535967221306
11,-3.141592653589793,-0.5574025054295062,-0.557808117432927,0.0004056120034208188
12,-3.141592653589793,1.0915538877825366,1.092032909919321,0.0004790221367843017
13,-3.141592653589793,-1.4575899942213688,-1.4578329382031434,0.00024294398177460153
15,-3.141592653589793,-1.388336237305304,-1.3882894401412238,4.679716408029222e-05
18,-3.141592653589793,1.2034352599367675,1.2034563934710891,2.1133534321648995e-05
19,-3.141592653589793,-1.1746443540139204,-1.1746730582573746,2.8704243454136247e-05
20,-3.141592653589793,1.1524063124078674,1.1524399886090677,3.367620120031667e-05
21,-3.141592653589793,-1.134649198884361,-1.1346863654938408,3.716660947983286e-05
22,-3.141592653589793,1.1201258631919664,1.1201655980677385,3.973487577213497e-05
23,-3.141592653589793,-1.108027599960757,-1.1080692911743102,4.169121355324101e-05
24,-3.141592653589793,1.0978012323326565,1.0978444543143415,4.322198168504876e-05
25,-3.141592653589793,-1.0890529226045693,-1.089097368521927,4.4445917357638365e-05
26,-3.141592653589793,1.0814933588473599,1.081538801048805,4.544220144508948e-05
27,-3.141592653589793,-1.0749045700268087,-1.074950835584287,4.626555747822003e-05
28,-3.141592653589793,1.069118861765624,1.069165816689016,4.6954923391906433e-05
29,-3.141592653589793,-1.0640049239563545,-1.0640524626848271,4.753872847262919e-05
30,-3.141592653589793,1.0594583728696296,1.059506410997085,4.80381274554631e-05
31,-3.141592653589793,-1.0553951369352121,-1.0554436061206331,4.846918542100731e-05
32,-3.141592653589793,1.0517467236107463,1.0517955678816717,4.884427092544108e-05
33,-3.141592653589793,-1.048456763898513,-1.048505936963199,4.9173064686103274e-05
34,-3.141592653589793,1.0454784451423618,1.0455279083639675,4.94632216057056e-05
7,-3.1390783737549874,-0.005154110483574984,-0.0051566011776318366,2.4906940568527464e-06
8,-3.1390783737549874,0.019341454150614928,0.019353371376994888,1.1917226379960094e-05
9,-3.1390783737549874,-0.06623403862899048,-0.06628190841365544,4.7869784664963944e-05
10,-3.1390783737549874,0.20657225340873564,0.2067352528931592,0.00016299948442355383
11,-3.1390783737549874,-0.5574464541672992,-0.557852070201416,0.000405616034116818
12,-3.1390783737549874,1.0915789983286461,1.092057984726984,0.00047898639833787726
13,-3.1390783737549874,-1.4575548876270703,-1.4577977569960365,0.00024286936896622535
15,-3.1390783737549874,-1.3881199106158506,-1.3880729926957132,4.691792013744589e-05
18,-3.1390783737549874,1.2029029500864274,1.202923883746829,2.0933660401567522e-05
19,-3.1390783737549874,-1.1739939317324228,-1.174022405806328,2.8474073905160324e-05
20,-3.1390783737549874,1.1516315196006988,1.1516649336122855,3.3414011586740955e-05
21,-3.1390783737549874,-1.133743806605544,-1.1337806772726118,3.6870667067701035e-05
22,-3.1390783737549874,1.1190836486436107,1.1191230520974091,3.9403453798492194e-05
23,-3.1390783737549874,-1.1068423380047199,-1.1068836605994883,4.132259476841149e-05
24,-3.1390783737549874,1.0964666925147815,1.0965095069726845,4.281445790299543e-05
25,-3.1390783737549874,-1.0875628683432033,-1.0876068661312872,4.3997788083949274e-05
26,-3.1390783737549874,1.0798415475192071,1.0798864992916366,4.495177242946902e-05
27,-3.1390783737549874,-1.0730847534265846,-1.0731304845660605,4.573113947592411e-05
28,-3.1390783737549874,1.0671247867060971,1.067171161537296,4.637483119895869e-05
29,-3.1390783737549874,-1.0618303329003471,-1.0618772441804372,4.691128009004508e-05
30,-3.1390783737549874,1.057097004543154,1.0571443661866575,4.7361643503496254e-05
31,-3.1390783737549874,-1.0528407268995006,-1.0528884688881164,4.7741988615790376e-05
32,-3.1390783737549874,1.0489930047847211,1.0490410694704315,4.8064685710391686e-05
33,-3.1390783737549874,-1.0454974670306387,-1.0455458064475218,4.833941688309196e-05
34,-3.1390783737549874,1.0423072992340299,1.0423558730722173,4.857383818746008e-05
7,-3.1365640939201818,-0.005160556045962,-0.005163049707602507,2.4936616405072526e-06
8,-3.1365640939201818,0.019360133956075273,0.019372061070928703,1.1927114853430704e-05
9,-3.1365640939201818,-0.066280271465737,-0.06632816634294203,4.789487720502361e-05
10,-3.1365640939201818,0.20666549436387616,0.2068285362205804,0.00016304185670423799
11,-3.1365640939201818,-0.557578298400221,-0.5579839265154753,0.00040562811525435283
12,-3.1365640939201818,1.0916543136733832,1.0921331928445408,0.00047887917115763123
13,-3.1365640939201818,-1.4574495462362256,-1.457692191770407,0.00024264553418151813
15,-3.1365640939201818,-1.3874709757731838,-1.3874236956666999,4.7280106483915674e-05
18,-3.1365640939201818,1.201306472215206,1.2013268066074705,2.0334392264453882e-05
19,-3.1365640939201818,-1.172043366423264,-1.1720711504907824,2.778406751846596e-05
20,-3.1365640939201818,1.1493081645971397,1.149340792726531,3.262812939119897e-05
21,-3.1365640939201818,-1.1310290565600123,-1.1310650403111613,3.598375114899355e-05
22,-3.1365640939201818,1.115958926554804,1.1159973369235752,3.841036877116899e-05
23,-3.1365640939201818,-1.1032890702034697,-1.1033292884422266,4.0218238756883906e-05
24,-3.1365640939201818,1.0924663001952832,1.0925078939566242,4.159376134094117e-05
25,-3.1365640939201818,-1.0830967655918335,-1.0831394213016576,4.265570982409095e-05
26,-3.1365640939201818,1.074891142038445,1.074934625334056,4.3483295610879935e-05
27,-3.1365640939201818,-1.0676314483823364,-1.067675579650432,4.413126809565959e-05
28,-3.1365640939201818,1.0611499829975777,1.0611946215849626,4.463858738490423e-05
29,-3.1365640939201818,-1.055315431526565,-1.055360465228366,4.503370180097832e-05
30,-3.1365640939201818,1.0500234089132015,1.050068746696292,4.533778309045999e-05
31,-3.1365640939201818,-1.0451898450198946,-1.045235411931233,4.5566911338390526e-05
32,-3.1365640939201818,1.0407462512978858,1.040791984766876,4.57334689902833e-05
33,-3.1365640939201818,-1.0366362651015912,-1.0366821122510057,4.5847149414468547e-05
34,-3.1365640939201818,1.0328130822914399,1.032858997910851,4.591561941102995e-05
7,-3.1340498140853756,-0.0051713043464702985,-0.005173802956452533,2.498609982234945e-06
8,-3.1340498140853756,0.019391279298360545,0.019403222898941808,1.1943600581262176e-05
9,-3.1340498140853756,-0.0663573465684843,-0.06640528327188977,4.793670340547118e-05
10,-3.1340498140853756,0.20682091612058773,0.20698402859115972,0.00016311247057199108
11,-3.1340498140853756,-0.5577980321783514,-0.5582036803923667,0.00040564821401523066
12,-3.1340498140853756,1.09177978493076,1.0922584853505815,0.00047870041982145395
13,-3.1340498140853756,-1.4572739052333465,-1.457516177721708,0.00024227248836150572
15,-3.1340498140853756,-1.3863895684823813,-1.3863416850046901,4.788347769113521e-05
16,-3.1340498140853756,1.2969104428094618,1.2968951466300829,1.52961793788986e-05
18,-3.1340498140853756,1.1986471810653951,1.198666517855811,1.93367904157693e-05
19,-3.1340498140853756,-1.1687947620407502,-1.168821397770995,2.6635730244750633e-05
20,-3.1340498140853756,1.1454393164238839,1.145470637037098,3.1320613214091964e-05
21,-3.1340498140853756,-1.1265092270175994,-1.1265437356110688,3.4508593469428916e-05
22,-3.1340498140853756,1.1107574582187534,1.1107942173788923,3.675916013889946e-05
23,-3.1340498140853756,-1.0973753455980422,-1.0974137282398595,3.838264181732498e-05
24,-3.1340498140853756,1.085809729186674,1.0858492946962728,3.9565509598826765e-05
25,-3.1340498140853756,-1.075666783624711,-1.0757072102265886,4.042660187764113e-05
26,-3.1340498140853756,1.0666572128725975,1.0666982580616204,4.1045189022925754e-05
27,-3.1340498140853756,-1.0585630687062733,-1.0586045447806034,4.147607433013789e-05
28,-3.1340498140853756,1.0512166877483144,1.0512584460163517,4.175826803720639e-05
29,-3.1340498140853756,-1.0444867993707145,-1.0445287196362407,4.192026552618522e-05
30,-3.1340498140853756,1.0382690676335344,1.038311050917359,4.198328382454264e-05
31,-3.1340498140853756,-1.0324794766948961,-1.0325214401415839,4.196344668772056e-05
32,-3.1340498140853756,1.027049597230923,1.0270914704104834,4.187317956039216e-05
33,-3.1340498140853756,-1.0219231304937644,-1.021964852711899,4.172221813458776e-05
34,-3.1340498140853756,1.017053340668279,1.0170948589397075,4.151827142861997e-05
7,-3.13153553425057,-0.0051863639334535205,-0.005188869476078439,2.5055426249188245e-06
8,-3.13153553425057,0.019434908681397637,0.019446875372402195,1.19666910045578e-05
9,-3.13153553425057,-0.06646529449918014,-0.0665132897704015,4.7995271221359936e-05
10,-3.13153553425057,0.20703854891184179,0.20720176022799341,0.0001632113161516291
11,-3.13153553425057,-0.5581056455567478,-0.5585113218324602,0.0004056762757124188
12,-3.13153553425057,1.0919553306070584,1.0924337806923765,0.00047845008531810507
13,-3.13153553425057,-1.4570278566205246,-1.4572696068703144,0.000241750249789785
15,-3.13153553425057,-1.3848759150117282,-1.3848271873869789,4.872762474938952e-05
16,-3.13153553425057,1.2947054207802091,1.294689115125362,1.6305654847226236e-05
18,-3.13153553425057,1.1949273335508437,1.1949452761717023,1.7942620858635294e-05
19,-3.13153553425057,-1.164251623003382,-1.1642766545727101,2.5031569328204384e-05
20,-3.13153553425057,1.1400300860361765,1.140059580925719,2.9494889542514002e-05
21,-3.13153553425057,-1.1201914414207423,-1.12022389116058,3.244973983762556e-05
22,-3.13153553425057,1.1034888345442966,1.1035232902604655,3.445571616889076e-05
23,-3.13153553425057,-1.089113728734874,-1.0891495520168328,3.582328195883555e-05
24,-3.13153553425057,1.0765130772270473,1.0765498162699507,3.673904290346641e-05
25,-3.13153553425057,-1.0652931685133458,-1.06533049047869,3.732196534422805e-05
26,-3.13153553425057,1.0551648273659398,1.055202478806459,3.7651440519148593e-05
27,-3.13153553425057,-1.04591023596149,-1.0459480183484071,3.778238691709568e-05
28,-3.13153553425057,1.0373618718970756,1.0373996258233018,3.775392622618057e-05
29,-3.13153553425057,-1.0293886163112769,-1.0294262109736163,3.75946623394352e-05
30,-3.13153553425057,1.0218862956797605,1.0219236215995626,3.7325919802100316e-05
31,-3.13153553425057,-1.0147710669227905,-1.0148080308518026,3.6963929012090446e-05
32,-3.13153553425057,1.0079746834599541,1.0080112046825742,3.65212226201006e-05
33,-3.13153553425057,-1.0014410388935426,-1.0014770465374867,3.60076439440693e-05
34,-3.13153553425057,0.995123599003473,0.9951590300143215,3.543101084846345e-05
7,-3.1290212544157643,-0.005205746781699589,-0.005208261246242518,2.5144645429287654e-06
8,-3.1290212544157643,0.019491048019078475,0.01950304441559081,1.1996396512333612e-05
9,-3.1290212544157643,-0.0666041580439443,-0.06665222863571918,4.807059177487638e-05
10,-3.1290212544157643,0.20731843503540354,0.207481773414963,0.0001633383795594523
11,-3.1290212544157643,-0.558501124552876,-0.5589068367766405,0.00040571222376450944
12,-3.1290212544157643,1.0921808365752586,1.0926589646603424,0.00047812808508385096
13,-3.1290212544157643,-1.4567112492592582,-1.4569523281034824,0.00024107884422419623
15,-3.1290212544157643,-1.3829303323323596,-1.3828805203572183,4.981197514131175e-05
16,-3.1290212544157643,1.291871978458211,1.2918543766712278,1.7601786983068024e-05
18,-3.1290212544157643,1.1901500872720578,1.1901662416249619,1.615435290402978e-05
19,-3.1290212544157643,-1.1584188509371733,-1.158441826026449,2.2975089275734106e-05
20,-3.1290212544157643,1.1330876201879394,1.1331147759339384,2.7155745998985736e-05
21,-3.1290212544157643,-1.1120856578829335,-1.1121154714223171,2.981353938369402e-05
22,-3.1290212544157643,1.0941664592048868,1.0941979674625988,3.1508257712031806e-05
23,-3.1290212544157643,-1.0785217739172257,-1.0785543245124563,3.255059523055159e-05
24,-3.1290212544157643,1.0645988281150667,1.0646319555055488,3.312739048211277e-05
25,-3.1290212544157643,-1.0520041891449095,-1.0520375469814542,3.335783654478952e-05
26,-3.1290212544157643,1.0404489747393437,1.0404822962839506,3.3321544606890185e-05
27,-3.1290212544157643,-1.0297156775079628,-1.0297487511561791,3.307364821636405e-05
28,-3.1290212544157643,1.0196371041944017,1.0196697576759974,3.265348159575687e-05
29,-3.1290212544157643,-1.0100824840452975,-1.01011457390506,3.208985976255185e-05
30,-3.1290212544157643,1.0009480103837929,1.0009794147030666,3.140431927373122e-05
31,-3.1290212544157643,-0.9921502252850872,-0.9921808385888596,3.0613303772408784e-05
32,-3.1290212544157643,0.9836212851154166,0.9836510146774355,2.972956201896526e-05
33,-3.1290212544157643,-0.9753055036842007,-0.9753342668403859,2.876315618527414e-05
34,-3.1290212544157643,0.9671567837216613,0.9671845058484234,2.7722126762164123e-05
7,-3.1265069745809586,-0.0052294682995514905,-0.005231993681677594,2.525382126103079e-06
8,-3.1265069745809586,0.019559730643601413,0.019571763374057527,1.203273045611436e-05
9,-3.1265069745809586,-0.06677399221243198,-0.06682215489178356,4.816267935157936e-05
10,-3.1265069745809586,0.20766062882533573,0.20782412246825488,0.00016349364291914914
11,-3.1265069745809586,-0.558984451087008,-0.5593902070466767,0.000405755959668741
12,-3.1265069745809586,1.0924561560392787,1.092933890352339,0.0004777343130601963
13,-3.1265069745809586,-1.456323888929221,-1.4565641472341575,0.0002402583049365692
15,-3.1265069745809586,-1.3805532283135002,-1.3805020925205775,5.1135792922707424e-05
16,-3.1265069745809586,1.288411305291455,1.28839212203799,1.9183253465060446e-05
18,-3.1265069745809586,1.1843194984376644,1.1843334735937399,1.3975156075485273e-05
19,-3.1265069745809586,-1.1513027401189744,-1.151323210905181,2.0470786206594482e-05
20,-3.1265069745809586,1.1246210928580374,1.1246454021799157,2.4309321878357437e-05
21,-3.1265069745809586,-1.1022046545051825,-1.1022312626347563,2.6608129573890693e-05
22,-3.1265069745809586,1.0828075250844975,1.0828354524000934,2.792731559586592e-05
23,-3.1265069745809586,-1.0656219892257717,-1.0656505671684156,2.857794264388147e-05
24,-3.1265069745809586,1.050095798816939,1.0501245460406274,2.8747223688396772e-05
25,-3.1265069745809586,-1.035836061841264,-1.0358646165633587,2.855472209462029e-05
26,-3.1265069745809586,1.0225544613940183,1.022582541808453,2.808041443480569e-05
27,-3.1265069745809586,-1.0100340842298614,-1.0100614640268475,2.7379796986082283e-05
28,-3.1265069745809586,0.9981083614621197,0.9981348540288938,2.649256677411671e-05
29,-3.1265069745809586,-0.9866471771471578,-0.9866726250503148,2.5447903157060914e-05
30,-3.1265069745809586,0.9755474094893369,0.9755716772004649,2.426771112795656e-05
31,-3.1265069745809586,-0.9647263148832455,-0.9647492836906122,2.2968807366741117e-05
32,-3.1265069745809586,0.9541167927103273,0.9541383570304782,2.1564320150879723e-05
33,-3.1265069745809586,-0.9436639277240196,-0.943683992421331,2.0064697311417135e-05
34,-3.1265069745809586,0.9333224207719265,0.9333408991444176,1.8478372491137485e-05
7,-3.123992694746153,-0.005257547338021386,-0.0052600856412226005,2.538303201214849e-06
8,-3.123992694746153,0.019640997316181616,0.019653073025353462,1.2075709171846527e-05
9,-3.123992694746153,-0.06697486423701406,-0.06702313578837171,4.8271551357656484e-05
10,-3.123992694746153,0.2080651966154083,0.20822887369969,0.00016367708428172145
11,-3.123992694746153,-0.5595556029055405,-0.5599614102685488,0.00040580736300832587
12,-3.123992694746153,1.0927811094880828,1.0932583781278689,0.0004772686397860326
13,-3.123992694746153,-1.4558655384037618,-1.4561048270767087,0.00023928867294698009
14,-3.123992694746153,1.4918659850061669,1.49184785014504,1.8134861126783974e-05
15,-3.123992694746153,-1.377745101973159,-1.3776924037942644,5.2698178894639014e-05
16,-3.123992694746153,1.284324854989492,1.284303806549854,2.1048439637905147e-05
19,-3.123992694746153,-1.1429109716223758,-1.1429284957629915,1.7524140615732264e-05
20,-3.123992694746153,1.1146416942407011,1.1146626573367044,2.0963096003301374e-05
21,-3.123992694746153,-1.0905640105289387,-1.0905868539460466,2.284341710789839e-05
22,-3.123992694746153,1.0694329840578587,1.0694567097594994,2.3725701640664454e-05
23,-3.123992694746153,-1.0504417903768677,-1.0504657119447687,2.3921567900986318e-05
24,-3.123992694746153,1.0330390716632067,1.0330626904591607,2.3618795953916916e-05
25,-3.123992694746153,-1.0168328537711129,-1.0168557912869578,2.2937515844922984e-05
26,-3.123992694746153,1.0015357768221427,1.0015577350913973,2.195826925466271e-05
27,-3.123992694746153,-0.9869319284054866,-0.9869526655240406,2.073711855399285e-05
28,-3.123992694746153,0.9728557858144559,0.9728751001455304,1.931433107449365e-05
29,-3.123992694746153,-0.959178324698423,-0.9591960443605515,1.77196621284903e-05
30,-3.123992694746153,0.9457975596290136,0.9458135352303539,1.5975601340367795e-05
31,-3.123992694746153,-0.9326319271776566,-0.9326460267367245,1.409955906783722e-05
32,-3.123992694746153,0.9196155496074395,0.9196276548757221,1.2105268282547321e-05
7,-3.1214784149113473,-0.005290006201966818,-0.00529255943898943,2.5532370226122314e-06
8,-3.1214784149113473,0.019734896240189218,0.019747021592132485,1.2125351943267915e-05
9,-3.1214784149113473,-0.06720685357164839,-0.06725525079999595,4.839722834755478e-05
10,-3.1214784149113473,0.2085322166942213,0.20869610537184125,0.0001638886776199333
11,-3.1214784149113473,-0.5602145534873281,-0.5606204197787523,0.00040586629142425057
12,-3.1214784149113473,1.093155484639766,1.0936322155522382,0.0004767309124722452
13,-3.1214784149113473,-1.4553359175425196,-1.4555740875396492,0.0002381699971296669
14,-3.1214784149113473,1.4900368409104057,1.4900171851949013,1.9655715504329763e-05
15,-3.1214784149113473,-1.3745065437838133,-1.374452045713115,5.4498070698238976e-05
16,-3.1214784149113473,1.2796143454853426,1.2795911500459962,2.3195439346368474e-05
19,-3.1214784149113473,-1.1332526061696266,-1.1332667477782228,1.4141608596140998e-05
20,-3.1214784149113473,1.1031626173103743,1.1031797431823618,1.7125871987433428e-05
21,-3.1214784149113473,-1.0771820833496366,-1.0772006144041293,1.8531054492676446e-05
22,-3.1214784149113473,1.0540675101530308,1.0540864286262996,1.8918473268847436e-05
23,-3.1214784149113473,-1.0330134445064645,-1.0330320450522112,1.8600545746760844e-05
24,-3.1214784149113473,1.0134699117863117,1.0134876776561006,1.776586978885497e-05
25,-3.1214784149113473,-0.9950463654024642,-0.9950629008004273,1.6535397963091114e-05
26,-3.1214784149113473,0.9774569305127107,0.977471921010381,1.4990497670397396e-05
27,-3.1214784149113473,-0.9604872423103172,-0.9605004303733723,1.3188063055058485e-05
7,-3.118964135076541,-0.005326870663297754,-0.005329440857565038,2.570194267284033e-06
8,-3.118964135076541,0.019841483076571523,0.019853664757612632,1.2181681041108922e-05
9,-3.118964135076541,-0.06747005189056018,-0.06751859162452778,4.8539733967595255e-05
10,-3.118964135076541,0.20906177925217345,0.2092259076448928,0.00016412839271934265
11,-3.118964135076541,-0.560961271932996,-0.5613672045135556,0.0004059325805595426
12,-3.118964135076541,1.0935790363756446,1.094055157330775,0.000476120955130499
13,-3.118964135076541,-1.4547347034009666,-1.4549716057354856,0.00023690233451900689
14,-3.118964135076541,1.487963632200632,1.4879422544642364,2.1377736395544744e-05
15,-3.118964135076541,-1.3708382360329017,-1.3707817017898747,5.65342430269844e-05
16,-3.118964135076541,1.2742817588889521,1.2742561368328684,2.5622056083696165e-05
21,-3.118964135076541,-1.0620799814197626,-1.0620936658323177,1.3684412555114989e-05
22,-3.118964135076541,1.0367394561545267,1.0367529790465655,1.3522892038819734e-05
23,-3.118964135076541,-1.0133740039865402,-1.0133866407080858,1.2636721545611351e-05
33,-3.118964135076541,-0.8176367388650745,-0.8176229728300406,1.3766035033890844e-05
34,-3.118964135076541,0.798835314261245,0.7988179792937202,1.733496752476249e-05
7,-3.1164498552417355,-0.005368169976185089,-0.005370759163238814,2.58918705372483e-06
8,-3.1164498552417355,0.019960820961669828,0.019973065683376312,1.2244721706484302e-05
9,-3.1164498552417355,-0.06776456308656201,-0.06781326218151129,4.8699094949283817e-05
10,-3.1164498552417355,0.2096539863199948,0.20981838251519314,0.0001643961951983408
11,-3.1164498552417355,-0.5617957228371662,-0.5622017288812402,0.0004060060440740365
12,-3.1164498552417355,1.0940514866644833,1.0945269252331955,0.00047543856871223866
13,-3.1164498552417355,-1.4540615303572855,-1.454297016107771,0.00023548575048559783
14,-3.1164498552417355,1.485646294238864,1.485622993921674,2.330031718988934e-05
15,-3.1164498552417355,-1.3667409532376285,-1.3666821479297702,5.8805307858289524e-05
16,-3.1164498552417355,1.2683293414310075,1.2683010156268677,2.832580413980601e-05
29,-3.1164498552417355,-0.8537710206199549,-0.8537596721021945,1.1348517760412236e-05
30,-3.1164498552417355,0.8318701336083034,0.8318550404091224,1.5093199181026584e-05
31,-3.1164498552417355,-0.809986111509601,-0.8099671133138628,1.899819573814021e-05
32,-3.1164498552417355,0.7880612359850322,0.78803819004842,2.304593661217602e-05
33,-3.1164498552417355,-0.7660502421685205,-0.7660230207072155,2.7221461304960393e-05
34,-3.1164498552417355,0.7439177396328089,0.743886227882457,3.1511750351986834e-05
7,-3.11393557540693,-0.005413936894314838,-0.00541654712327122,2.610228956382611e-06
8,-3.11393557540693,0.0200929805273817,0.020105295029509085,1.2314502127384191e-05
9,-3.11393557540693,-0.06809050326906387,-0.06813937861013097,4.887534106710889e-05
10,-3.11393557540693,0.2103089516990726,0.21047364374544353,0.00016469204637092894
11,-3.11393557540693,-0.5627178661437251,-0.5631239526173046,0.00040608647357953664
12,-3.11393557540693,1.09457252447704,1.095047208008253,0.0004746835312130493
13,-3.11393557540693,-1.4533159902564692,-1.4535499105755538,0.00023392031908464617
