m,v,gv,sp,diff
1,-180.0,-6.272328788317925e-33,-0.9998749817698769,0.9998749817698769
2,-180.0,7.756525225053767e-33,1.0001666035914867,1.0001666035914867
3,-180.0,-1.6408767649316864e-32,-1.0000625074199236,1.0000625074199236
4,-180.0,1.3217337918064482e-32,1.0000333348614425,1.0000333348614425
5,-180.0,-2.2184300842222292e-32,-1.000020833860431,1.000020833860431
6,-180.0,2.3933401903867497e-32,1.0000142859470866,1.0000142859470866
7,-180.0,-2.970986609769913e-32,-1.0000104167860333,1.0000104167860333
8,-180.0,3.222078610530494e-32,1.0000079365756538,1.0000079365756538
9,-180.0,-3.903698337887285e-32,-1.0000062500413485,1.0000062500413485
10,-180.0,4.4659277018461764e-32,1.0000050505317557,1.0000050505317557
11,-180.0,-4.506091801277562e-32,-1.000004166684697,1.000004166684697
12,-180.0,4.682316560187914e-32,1.0000034965161162,1.0000034965161162
13,-180.0,-5.514463534265765e-32,-1.0000029761995763,1.0000029761995763
14,-180.0,6.45284395960103e-32,1.0000025641092936,1.0000025641092936
15,-180.0,-6.070504785687097e-32,-1.0000022321479416,1.0000022321479416
16,-180.0,6.471067707999721e-32,1.0000019607882276,1.0000019607882276
17,-180.0,-6.926941029235638e-32,-1.0000017361141733,1.0000017361141733
18,-180.0,7.568998950859541e-32,1.0000015479900466,1.0000015479900466
19,-180.0,-7.530773919633406e-32,-1.0000013888908426,1.0000013888908426
20,-180.0,7.798592829298716e-32,1.0000012531344207,1.0000012531344207
21,-180.0,-8.184098516378469e-32,-1.0000011363649413,1.0000011363649413
22,-180.0,8.546972936790528e-32,1.000001035197769,1.000001035197769
23,-180.0,-9.561520770989705e-32,-1.0000009469706015,1.0000009469706015
24,-180.0,9.455926157717948e-32,1.0000008695659797,1.0000008695659797
25,-180.0,-9.613261164944784e-32,-1.0000008012826982,1.0000008012826982
26,-180.0,1.0250805925732018e-31,1.0000007407412934,1.0000007407412934
27,-180.0,-1.0652913241507747e-31,-1.0000006868136615,1.0000006868136615
28,-180.0,1.1302592704683334e-31,1.0000006385700144,1.0000006385700144
29,-180.0,-1.170286520676843e-31,-1.0000005952384516,1.0000005952384516
30,-180.0,1.1629699123353904e-31,1.000000556173837,1.000000556173837
31,-180.0,-1.2694222730153908e-31,-1.0000005208336058,1.0000005208336058
32,-180.0,1.2768323887795675e-31,1.0000004887587934,1.0000004887587934
33,-180.0,-1.2574106588813714e-31,-1.0000004595590355,1.0000004595590355
34,-180.0,1.407191651232425e-31,1.000000432900621,1.000000432900621
1,-179.8559423769508,0.0025142792003769654,-0.9998718245259406,1.0023861037263175
2,-179.8559423769508,-0.005028540494490166,1.0001539646268403,1.0051825051213303
3,-179.8559423769508,0.007542769999875345,-1.0000340648844768,1.0075768348843521
4,-179.8559423769508,-0.010056951823362605,0.9999827670987724,1.010039718922135
5,-179.8559423769508,0.012571070070365996,-0.9999418195377419,1.012512889608108
6,-179.8559423769508,-0.015085108848445382,0.9999005039453202,1.0149856127937655
7,-179.8559423769508,0.017599052264187915,-0.9998555462162687,1.0174545984804566
8,-179.8559423769508,-0.020112884426013968,0.9998056568127925,1.0199185412388065
9,-179.8559423769508,0.022626589442088414,-0.9997502407618755,1.022376830203964
10,-179.8559423769508,-0.025140151421971554,0.9996889917527813,1.0248291431747527
11,-179.8559423769508,0.027653554475930608,-0.9996217388034814,1.027275293279412
12,-179.8559423769508,-0.03016678271530014,0.9995483803498012,1.0297151630651014
13,-179.8559423769508,0.03267982025197878,-0.999468853025011,1.0321486732769898
14,-179.8559423769508,-0.03519265120011725,0.9993831157029103,1.0345757669030275
15,-179.8559423769508,0.0377052596747427,-0.9992911408256524,1.036996400500395
16,-179.8559423769508,-0.04021762979162092,0.999192909445337,1.039410539236958
17,-179.8559423769508,0.04272974566850605,-0.9990884082652931,1.0418181539337992
18,-179.8559423769508,-0.04524159142478653,0.9989776278090151,1.0442192192338016
19,-179.8559423769508,0.0477531511827559,-0.9988605612506426,1.0466137124333985
20,-179.8559423769508,-0.05026440906357648,0.9987372036470948,1.0490016127106714
21,-179.8559423769508,0.052775349193413305,-0.9986075514215061,1.0513829006149193
22,-179.8559423769508,-0.055285955698584535,0.9984716020081217,1.0537575577067062
23,-179.8559423769508,0.05779621270780791,-0.9983293536034261,1.056125566311234
24,-179.8559423769508,-0.06030610435250607,0.9981808049886478,1.058486909341154
25,-179.8559423769508,0.06281561476665698,-0.9980259554011609,1.0608415701678178
26,-179.8559423769508,-0.06532472808508952,0.9978648044399723,1.0631895325250618
27,-179.8559423769508,0.0678334284470764,-0.997697351995331,1.0655307804424075
28,-179.8559423769508,-0.07034169999290302,0.997523598195679,1.0678652981885821
29,-179.8559423769508,0.07284952686704525,-0.9973435433672133,1.0701930702342586
30,-179.8559423769508,-0.07535689321548276,0.9971571880027619,1.0725140812182445
31,-179.8559423769508,0.07786378318758858,-0.9969645327375795,1.074828315925168
32,-179.8559423769508,-0.08037018093669585,0.9967655783303666,1.0771357592670625
33,-179.8559423769508,0.08287607061697871,-0.9965603256482691,1.0794363962652478
34,-179.8559423769508,-0.08538143638801704,0.9963487756549185,1.0817302120429355
1,-179.71188475390156,-0.005028542506447947,-0.9998623528139108,0.9948338103074629
2,-179.71188475390156,0.01005695383524352,1.0001160480521751,0.9900590942169316
3,-179.71188475390156,-0.015085110859869065,-0.9999487388958301,0.9848636280359611
4,-179.71188475390156,0.02011288643760859,0.9998310689246293,0.9797181824870207
5,-179.71188475390156,-0.02514015343305485,-0.999704789055781,0.9745646356227261
6,-179.71188475390156,0.030166784726034603,0.9995591838321777,0.969392399106143
7,-179.71188475390156,-0.035192653210466295,-0.9993909824761015,0.9641983292656352
8,-179.71188475390156,0.040217631801096235,0.9991988993576044,0.9589812675565081
9,-179.71188475390156,-0.04524159343410204,-0.9989823440039797,0.9537407505698776
10,-179.71188475390156,0.050264411072033305,0.9987410152009917,0.9484766041289584
11,-179.71188475390156,-0.05528595770600701,-0.9984747476606234,0.9431887899546164
12,-179.71188475390156,0.06030610635966858,0.998183446110696,0.9378773397510274
13,-179.71188475390156,-0.06532473009087615,-0.9978670540745876,0.9325423239837115
14,-179.71188475390156,0.0703417019978394,0.9975255379142878,0.9271838359164484
15,-179.71188475390156,-0.07535689521970962,-0.997158878158104,0.9218019829383943
16,-179.71188475390156,0.08037018293990675,0.9967670645420877,0.916396881602181
17,-179.71188475390156,-0.0853814383903577,-0.9963500930511141,0.9109686546607564
18,-179.71188475390156,0.09039053485472462,0.9959079640875881,0.9055174292328635
19,-179.71188475390156,-0.0953973456730082,-0.9954406813016758,0.9000433356286677
