m,v,gv,sp,diff
32,-178.12725090036014,0.4898460281152956,0.48985298116891735,6.953053621749916e-06
33,-178.12725090036014,-0.4616808678350685,-0.46168844806822407,7.580233155557448e-06
34,-178.12725090036014,0.4329881502922296,0.43299636024197297,8.209949743376299e-06
30,-177.98319327731093,0.47947148825283625,0.47947864238251,7.154129673725418e-06
31,-177.98319327731093,-0.44900331015703315,-0.4490111401488972,7.82999186405009e-06
32,-177.98319327731093,0.4179344004228994,0.41794290859583083,8.508172931409597e-06
33,-177.98319327731093,-0.3863074966128573,-0.38631668364360455,9.187030747259683e-06
34,-177.98319327731093,0.3541654482317894,0.35417531313591355,9.864904124134988e-06
28,-177.8391356542617,0.4775768702995368,0.47758403357595536,7.163276418531428e-06
29,-177.8391356542617,-0.4449822588886444,-0.4449901456817351,7.886793090716715e-06
30,-177.8391356542617,0.4116967470706609,0.4117053598651254,8.61279446451313e-06
31,-177.8391356542617,-0.3777735577744544,-0.37778289703257056,9.339258116136673e-06
32,-177.8391356542617,0.3432659696577275,0.34327603379876814,1.006414104065545e-05
33,-177.8391356542617,-0.3082273899228847,-0.3082381753076555,1.0785384770839457e-05
34,-177.8391356542617,0.2727113974113686,0.2727228983281192,1.1500916750617485e-05
26,-177.6950780312125,0.484101378759289,0.4841083597990592,6.981039770204145e-06
27,-177.6950780312125,-0.44959904629733227,-0.44960679735990977,7.751062577499024e-06
28,-177.6950780312125,0.414292543227564,0.41430106754287366,8.52431530967701e-06
29,-177.6950780312125,-0.37824732073206935,-0.37825661908362335,9.298351553999051e-06
30,-177.6950780312125,0.34152874285339574,0.34153881355561094,1.0070702215203564e-05
31,-177.6950780312125,-0.3042022186233918,-0.30421305749324196,1.0838869850149369e-05
32,-177.6950780312125,0.2663332839414922,0.26634488428417685,1.1600342684658926e-05
33,-177.6950780312125,-0.22798764485951833,-0.22799999746012078,1.2352600602449915e-05
34,-177.6950780312125,0.1892311909407946,0.18924428405985225,1.3093119057644431e-05
25,-177.55102040816325,-0.46267599672329474,-0.4626834206272529,7.423903958136968e-06
26,-177.55102040816325,0.4255934370564049,0.42560168052688546,8.243470480562287e-06
27,-177.55102040816325,-0.3876427761932879,-0.3876518411068865,9.064913598588742e-06
28,-177.55102040816325,0.34890339599234105,0.3489132812692853,9.88527694423258e-06
29,-177.55102040816325,-0.30945452339522156,-0.3094652249711723,1.07015759507334e-05
30,-177.55102040816325,0.26937539102043523,0.2693869018291427,1.1510808707482223e-05
31,-177.55102040816325,-0.2287453314065885,-0.2287576413612045,1.2309954615985497e-05
32,-177.55102040816325,0.18764382072810853,0.18765691671811568,1.3095990007150338e-05
33,-177.55102040816325,-0.14615048371995001,-0.14616434961597838,1.386589602836441e-05
34,-177.55102040816325,0.10434506856168806,0.10435968522713407,1.4616665446012811e-05
23,-177.40696278511405,-0.48385850476100595,-0.4838654122571405,6.907496134578306e-06
24,-177.40696278511405,0.44531247501813054,0.4453202465280545,7.771509923981679e-06
25,-177.40696278511405,-0.4057322396226521,-0.4057408791141374,8.639491485329387e-06
26,-177.40696278511405,0.36521359905150097,0.36522310701416205,9.50796266108167e-06
27,-177.40696278511405,-0.3238517605196485,-0.32386213392764873,1.037340800025266e-05
28,-177.40696278511405,0.28174165762880216,0.2817528898995114,1.1232270709260472e-05
29,-177.40696278511405,-0.23897815123961566,-0.2389902322150279,1.2080975412248618e-05
30,-177.40696278511405,0.19565614186838878,0.1956690578090315,1.2915940642704848e-05
31,-177.40696278511405,-0.15187061544186706,-0.15188434902413112,1.3733582264058297e-05
32,-177.40696278511405,0.1077166383546439,0.10773116868629522,1.453033165131623e-05
