m,v,gv,sp,diff
1,-180.0,-0.0033218039122525672,-1.0,0.9966781960877474
2,-180.0,2.738384644211921,1.0,1.738384644211921
3,-180.0,-0.05323546125722617,-1.0,0.9467645387427739
4,-180.0,1.1608861243252515,1.0,0.1608861243252515
5,-180.0,-1.156203045622443,-1.0,0.15620304562244303
6,-180.0,1.0248779360843798,1.0,0.024877936084379826
7,-180.0,-1.024884442659749,-1.0,0.024884442659748984
8,-180.0,0.9189436144076225,1.0,0.08105638559237749
9,-180.0,-0.9191197937482485,-1.0,0.08088020625175152
10,-180.0,0.8095854940914096,1.0,0.19041450590859044
11,-180.0,-0.8208130933502095,-1.0,0.17918690664979053
12,-180.0,0.6225173470451538,1.0,0.3774826529548462
13,-180.0,-0.7577926605816513,-1.0,0.2422073394183487
14,-180.0,0.7132267667592253,1.0,0.28677323324077475
15,-180.0,-0.7898413624207578,-1.0,0.21015863757924225
16,-180.0,0.8146056001395985,1.0,0.18539439986040152
17,-180.0,-0.8382969706729549,-1.0,0.16170302932704506
18,-180.0,0.856297353769061,1.0,0.14370264623093898
19,-180.0,-0.871149037797033,-1.0,0.128850962202967
20,-180.0,0.8835981210938352,1.0,0.11640187890616482
21,-180.0,-0.8942086820796282,-1.0,0.10579131792037177
22,-180.0,0.9033614792794618,1.0,0.09663852072053825
23,-180.0,-0.9113331024547673,-1.0,0.08866689754523271
24,-180.0,0.9183312163903614,1.0,0.08166878360963858
25,-180.0,-0.924516083174329,-1.0,0.07548391682567102
26,-180.0,0.9300140463130481,1.0,0.06998595368695193
27,-180.0,-0.9349264327495826,-1.0,0.06507356725041735
28,-180.0,0.9393356604261465,1.0,0.06066433957385353
29,-180.0,-0.9433095640978243,-1.0,0.056690435902175706
30,-180.0,0.9469045413196316,1.0,0.05309545868036836
31,-180.0,-0.9501678915641216,-1.0,0.049832108435878375
32,-180.0,0.9531395885133636,1.0,0.046860411486636444
33,-180.0,-0.9558536446789864,-1.0,0.04414635532101363
34,-180.0,0.9583391768580709,1.0,0.04166082314192909
1,-179.8559423769508,-0.0033215965815905496,-0.9999968392001213,0.9966752426185307
2,-179.8559423769508,2.7375482843112637,0.9999873568204664,1.7375609274907973
3,-179.8559423769508,-0.053219202034777216,-0.9999715529209791,0.9467523508862018
4,-179.8559423769508,1.1602658433857447,0.9999494276015654,0.16031641578417932
5,-179.8559423769508,-1.155585266930284,-0.9999209810020926,0.15566428592819137
6,-179.8559423769508,1.0241118785620877,0.9998862133023889,0.024225665259698825
7,-179.8559423769508,-1.0241183801924532,-0.9998451247222416,0.02427325547021153
8,-179.8559423769508,0.9180776475633053,0.9997977155213963,0.08172006795809095
9,-179.8559423769508,-0.9182536470680611,-0.999743985999555,0.08149033893149393
10,-179.8559423769508,0.8086837369883088,0.9996839364963744,0.19100019950806568
11,-179.8559423769508,-0.8198978816992647,-0.9996175673914633,0.17971968569219865
12,-179.8559423769508,0.6217446061687699,0.9995448791043806,0.3778002729356107
13,-179.8559423769508,-0.7568338649723508,-0.9994658720946323,0.2426320071222815
14,-179.8559423769508,0.7122669717815415,0.9993805468616697,0.28711357508012814
15,-179.8559423769508,-0.7887205971935226,-0.9992889039448841,0.2105683067513615
16,-179.8559423769508,0.8133780862228885,0.999190943923606,0.18581285770071743
17,-179.8559423769508,-0.836953396565988,-0.999086667417099,0.16213327085111096
18,-179.8559423769508,0.8548359573946256,0.9989760750845572,0.14414011768993162
19,-179.8559423769508,-0.869565254918562,-0.9988591676251019,0.1292939127065399
20,-179.8559423769508,0.8818869037194227,0.9987359457777744,0.11684904205835167
21,-179.8559423769508,-0.892364582616319,-0.9986064103215349,0.10624182770521584
22,-179.8559423769508,0.9013788133390926,0.9984705620752534,0.09709174873616078
23,-179.8559423769508,-0.9092060282296612,-0.9983284018977089,0.08912237366804765
24,-179.8559423769508,0.9160537838388845,0.9981799306875817,0.08212614684869723
25,-179.8559423769508,-0.9220822652924116,-0.9980251493834461,0.07594288409103456
26,-179.8559423769508,0.9274177599215631,0.9978640589637681,0.07044629904220501
27,-179.8559423769508,-0.9321615527828849,-0.9976966604468969,0.06553510766401194
28,-179.8559423769508,0.9363960300352345,0.99752295489106,0.06112692485582549
29,-179.8559423769508,-0.940189001968571,-0.9973429433943524,0.05715394142578134
30,-179.8559423769508,0.9435968470852769,0.9971566270947356,0.05355978000945871
31,-179.8559423769508,-0.9466668498825324,-0.9969640071700279,0.05029715728749551
