m,v,gv,sp,diff
1,-179.8559423769508,-0.06177270547899848,-0.03088559183748373,0.03088711364151475
2,-179.8559423769508,0.00044562996901151454,0.030885591837485987,0.030439961868474474
3,-179.8559423769508,-0.03124092798689822,-0.036458104715421456,0.005217176728523235
4,-179.8559423769508,0.04203299905716922,0.03645810471853864,0.005574894338630579
6,-179.8559423769508,0.03904176930048282,0.03903606386461214,5.705435870681508e-06
7,-179.8559423769508,-0.03998535806724224,-0.039980222500265415,5.135566976822992e-06
8,-179.8559423769508,0.03998613452645682,0.03998089216583405,5.242360622770281e-06
9,-179.8559423769508,-0.03944945364137583,-0.0394425503984486,6.9032429272294915e-06
10,-179.8559423769508,0.03952492022755618,0.039518098666982276,6.821560573903873e-06
11,-179.8559423769508,-0.035282907006539535,-0.03527254933987941,1.0357666660125442e-05
12,-179.8559423769508,0.038044793195933596,0.0380370029372267,7.790258706896758e-06
13,-179.8559423769508,-0.031561819625088,-0.03155839910974967,3.4205153383315423e-06
14,-179.8559423769508,0.0396168998532703,0.03961063847496451,6.261378305789933e-06
15,-179.8559423769508,-0.04154112016003532,-0.04153625817889811,4.861981137208038e-06
16,-179.8559423769508,0.04480312972231098,0.04479680719750961,6.322524801372076e-06
17,-179.8559423769508,-0.04745164645637716,-0.04744487767594929,6.7687804278654395e-06
18,-179.8559423769508,0.05002453849375177,0.050017265873795465,7.272619956304183e-06
19,-179.8559423769508,-0.05252208694864181,-0.052514369857128936,7.717091512871033e-06
20,-179.8559423769508,0.05497942920656598,0.054971286756343295,8.142450222688169e-06
21,-179.8559423769508,-0.05741224374539856,0.05251436985712887,0.10992661360252742
22,-179.8559423769508,0.05983043328076185,0.0598214732789523,8.960001809547868e-06
23,-179.8559423769508,-0.06224019431868209,-0.06223083425578311,9.360062898984556e-06
24,-179.8559423769508,0.06464553448723345,0.06463577753159815,9.756955635306652e-06
25,-179.8559423769508,-0.0670490846412488,-0.06703893287986551,1.015176138328966e-05
26,-179.8559423769508,0.0694525831379679,0.06944203795414462,1.0545183823276738e-05
27,-179.8559423769508,-0.07185717521103363,-0.07184623752325751,1.0937687776116367e-05
28,-179.8559423769508,0.07426360454352327,0.07425227495372577,1.132958979749299e-05
29,-179.8559423769508,-0.07667233919397103,-0.0766606180934288,1.1721100542219642e-05
30,-179.8559423769508,0.07908365623322353,0.07907154386652171,1.2112366701816368e-05
31,-179.8559423769508,-0.08149769963636233,-0.08148519614839485,1.2503487967482907e-05
32,-179.8559423769508,0.08391452047526925,0.08390162594256693,1.2894532702312222e-05
33,-179.8559423769508,-0.0863341051484087,-0.08632081960233094,1.3285546077754229e-05
34,-179.8559423769508,0.08875639539773256,0.08874271884071709,1.3676557015465662e-05
35,-179.8559423769508,-0.09118130260509516,-0.09116723501966321,1.4067585431945528e-05
1,-179.71188475390156,-0.12352248194449073,-0.06175971990950521,0.06176276203498551
2,-179.71188475390156,0.0008910945274989637,0.061759719909508536,0.06086862538200957
3,-179.71188475390156,-0.06245550654144693,-0.07288546137658462,0.010429954835137693
4,-179.71188475390156,0.08403054636124581,0.07288546138281701,0.011145084978428796
6,-179.71188475390156,0.07803333252797333,0.07802193288893136,1.1399639041967391e-05
7,-179.71188475390156,-0.07990294946222466,-0.07989269395073784,1.0255511486825797e-05
8,-179.71188475390156,0.07990450096719617,0.07989403204948528,1.0468917710892978e-05
9,-179.71188475390156,-0.07881751397486773,-0.07880373213110328,1.3781843764451573e-05
10,-179.71188475390156,0.07896827969526625,0.07895466105868283,1.3618636583417887e-05
11,-179.71188475390156,-0.07048216056782951,-0.07046148308300652,2.0677484822984038e-05
12,-179.71188475390156,0.07599888067345524,0.07598333260574126,1.554806771397743e-05
13,-179.71188475390156,-0.06304231087992652,-0.0630354934778869,6.817402039629994e-06
14,-179.71188475390156,0.07912768569181454,0.0791151975515172,1.248814029733425e-05
15,-179.71188475390156,-0.08296425275119984,-0.08295456296592627,9.689785273575557e-06
16,-179.71188475390156,0.08947124852084327,0.08945864579118695,1.260272965632192e-05
17,-179.71188475390156,-0.09475118641408684,-0.09473769701271119,1.348940137564647e-05
18,-179.71188475390156,0.09987832961507503,0.09986383919420867,1.4490420866361542e-05
19,-179.71188475390156,-0.10485320032216308,-0.10483782809330158,1.5372228861498805e-05
20,-179.71188475390156,0.1097459078342581,0.10972969265041878,1.6215183839318748e-05
21,-179.71188475390156,-0.11458768934801089,0.10483782809330146,0.21942551744131233
22,-179.71188475390156,0.11939824006482776,0.11938040737509938,1.7832689728380924e-05
23,-179.71188475390156,-0.12418984929583597,-0.12417122640708332,1.8622888752650724e-05
24,-179.71188475390156,0.12897043222068225,0.1289510262715809,1.940594910135318e-05
25,-179.71188475390156,-0.13374515267478443,-0.1337249686783657,2.0183996418732253e-05
26,-179.71188475390156,0.13851739088497844,0.13849643248309676,2.0958401881682187e-05
27,-179.71188475390156,-0.14328934173625008,-0.14326761167677693,2.1730059473146213e-05
28,-179.71188475390156,0.1480623976240079,0.14803989805693635,2.249956707156553e-05
29,-179.71188475390156,-0.15283740012196118,-0.15281413281110995,2.326731085122713e-05
30,-179.71188475390156,0.15761480913834905,0.15759077558901113,2.4033549337915128e-05
31,-179.71188475390156,-0.1623948186237671,-0.16237002017663307,2.47984471340168e-05
32,-179.71188475390156,0.16717743690674217,0.16715187480045202,2.55621062901501e-05
33,-179.71188475390156,-0.17196254312111475,-0.171936218538516,2.6324582598741264e-05
34,-179.71188475390156,0.17674992721901514,0.17672284131975352,2.708589926161964e-05
35,-179.71188475390156,-0.1815393185505029,-0.1815114724888997,2.7846061603192807e-05
1,-179.56782713085235,-0.1852264148173363,-0.09261092766691852,0.09261548715041777
2,-179.56782713085235,0.0013362283690578189,0.09261092766692043,0.09127469929786261
3,-179.56782713085235,-0.09361741145014889,-0.10925135135587842,0.015633939905729533
4,-179.56782713085235,0.1259572240897649,0.1092513513652198,0.0167058727245451
6,-179.56782713085235,0.11692455191444649,0.11690748051624215,1.7071398204338006e-05
7,-179.56782713085235,-0.11968512619450372,-0.11966978194289449,1.5344251609233917e-05
8,-179.56782713085235,0.11968744992095183,0.11967178601235319,1.5663908598639864e-05
9,-179.56782713085235,-0.11802295940541173,-0.11800234816981499,2.0611235596740274e-05
10,-179.56782713085235,0.11824868973305268,0.11822832291471827,2.036681833440801e-05
11,-179.56782713085235,-0.10551430895537604,-0.10548338722487942,3.092173049662472e-05
12,-179.56782713085235,0.11377177661761838,0.11374853552663863,2.3241090979744805e-05
13,-179.56782713085235,-0.09436035798406145,-0.09435019085100975,1.0167133051700028e-05
14,-179.56782713085235,0.11842653152223712,0.11840788570859301,1.864581364410811e-05
15,-179.56782713085235,-0.12415174929850065,-0.12413729990451221,1.4449393988438808e-05
16,-179.56782713085235,0.13386975660784178,0.13385095811133735,1.8798496504435214e-05
17,-179.56782713085235,-0.14174700549639982,-0.1417268915491088,2.011394729101168e-05
18,-179.56782713085235,0.1493912135884667,0.1493696147099979,2.15988784687815e-05
